"","Direcciones","lat","lon"
"1","CALLE DE CARTAGENA NUM 104 MADRID",40.4394484,-3.6733167
"2","PASEO DE SANTA MARIA DE LA CABEZA NUM 100 MADRID",40.3929272,-3.7071618
"3","CALLE DE HILARION ESLAVA NUM 34 MADRID",40.4357339,-3.7165119
"4","CALLE DE ROBERTO DOMINGO NUM 3 MADRID",40.4348176,-3.6612679
"5","CALLE DE LA CAÑADA NUM 44 MADRID",40.4055842,-3.6441823
"6","CALLE DE ARTURO SORIA NUM 99 MADRID",40.4487976,-3.6513261
"7","CALLE DE MERCEDES ARTEAGA NUM 7 MADRID",40.39411,-3.72076
"8","AVENIDA DE LOS POBLADOS NUM 3 MADRID",40.3936537,-3.7711289
"9","CALLE DEL ARROYO DEL OLIVAR NUM 91 MADRID",40.3883605,-3.649743
"10","AVENIDA DEL MEDITERRANEO KM. 5000 MADRID",40.405764,-3.6665421
"11","AVENIDA DE MONFORTE DE LEMOS NUM 36 MADRID",40.4798322,-3.707023
"12","AVENIDA DEL MEDITERRANEO KM. 7000 MADRID",40.405764,-3.6665421
"13","CALLE DE BRAVO MURILLO NUM 8 MADRID",40.4345308,-3.7041483
"14","AVENIDA DE ARAGON NUM 332 MADRID",40.4488866,-3.5767612
"15","CAMINO DE LAS CRUCES NUM 6 MADRID",40.3746813,-3.7554079
"16","AVENIDA DEL VENTISQUERO DE LA CONDESA NUM 20 MADRID",40.4880298,-3.7163003
"17","CALLE DE FRANCISCO SILVELA NUM 122 MADRID",40.4167754,-3.7037902
"18","AVENIDA DE NUESTRA SEÑORA DE VALVANERA NUM 114 MADRID",40.392773,-3.7403855
"19","AVENIDA DEL PADRE HUIDOBRO NUM 5 MADRID",40.4587719,-3.7535676
"20","CALLE DE LA CERAMICA NUM 21 MADRID",40.4798809,-3.7157863
"21","CALLE DE CARAMUEL NUM 42 MADRID",40.40948,-3.72878
"22","AVENIDA DE AMERICA KM. 5000 MADRID",40.438834,-3.672723
"23","CALLE DE ALCALA NUM 375 MADRID",40.4353923,-3.6436648
"24","CALLE DE MOLINA DE SEGURA NUM 25 MADRID",40.4055228,-3.637186
"25","RONDA DE TOLEDO NUM 5 MADRID",40.4060462,-3.707523
"26","PASEO DE SANTA MARIA DE LA CABEZA NUM 120 MADRID",40.3913886,-3.7094175
"27","PASEO DE LOS TALLERES NUM 3 MADRID",40.3472835,-3.700813
"28","CALLE DE VELEZ RUBIO NUM 19 MADRID",40.4771377,-3.6625165
"29","CALLE DE SAN CIPRIANO NUM 32 MADRID",40.4039141,-3.6059715
"30","CALLE DE ALCALA NUM 206 MADRID",40.430752,-3.6629124
"31","AVENIDA DEL GENERAL FANJUL NUM 50 MADRID",40.3819895,-3.7784256
"32","CALLE DEL DOCTOR ESQUERDO NUM 47 MADRID",40.4231603,-3.6685956
"33","AVENIDA  OROVILLA NUM 42 MADRID",40.360812,-3.6899585
"34","PASEO DE LA FLORIDA NUM 41 MADRID",40.4229965,-3.7235868
"35","CALLE DE VALMOJADO NUM 163 MADRID",40.3909312,-3.7582297
"36","CALLE DE TRESPADERNE NUM 16 MADRID",40.4525745,-3.5808738
"37","PLAZA DE SAN FRANCISCO NUM 5 MADRID",40.411015,-3.7143453
"38","AVENIDA DEL PADRE HUIDOBRO KM. 5 MADRID",40.4640303,-3.781585
"39","CALLE DE FUCAR NUM 23 MADRID",40.4108025,-3.6955655
"40","CALLE DEL JAZMIN NUM 34 MADRID",40.4784694,-3.6667733
