0 0.0473315457011566	0 0.0770127174255416	0 0.0844573099761564	0 0.142436140695806	0 0.116506485661807	0 0.257716413064644	0 0.132155092173743	0 0.0600926671255303	0 0.0997458498561205	0 0.267178013542588	0 0.239686159366498	0 0.265378316563723	0 0.307868483900052	0 0.28350215156771	0 0.296692431916245	0 0.174633229000298	0 0.430252425860167	0 0.314841092830803	0 0.394380874841357	0 0.361865319629643	0 0.189023468574093	0 0.18958044531138	0 0.23809785947884	0 0.283274112906246	0 0.312887182839925	0 0.230167227166142	0 0.280825868043041	0 0.148443886868274	0 0.325640580334119	0 0.27305379665794	0 0.134363744014698	0 0.148972524395289	0 0.306778867903006	0 0.378422714528479	0 0.205552332442228	0 0.171485005977483	0 0.17779902344892	0 0.105542722928017	0 0.159174916708252	1 0.476922778057779	0 0.186098680235238	0 0.226262555559444	0 0.136866389015271	1 0.210379540236398	0 0.21455715768966	3 0.233512868597783	0 0.248924661021252	0 0.337421585582761	0 0.192565641766415
0 0.0707385561879203	0 0.111408187437701	0 0.12349878448993	1 0.20743023275134	0 0.212594592019661	0 0.400494183757393	0 0.220634095226065	0 0.104225239834031	0 0.153712606412708	0 0.35086132762698	0 0.353663837962596	0 0.40298761828969	0 0.473691030326665	0 0.442629487153907	0 0.389532325722085	0 0.248566818439229	0 0.582846501134745	0 0.461096723013568	0 0.528366400374295	0 0.555353617713188	0 0.254050405005502	0 0.303043027010043	0 0.34778231294501	0 0.417886380284172	0 0.460990668240519	0 0.373156635475958	0 0.447370905711297	0 0.244204677717085	0 0.437961346908529	0 0.349003282133457	0 0.184505557155192	1 0.228399963775188	0 0.429697966611836	0 0.552992529855302	0 0.319068028181527	0 0.208912558589765	1 0.230280587579731	0 0.14908441146848	0 0.204110916756721	0 0.642871767052812	0 0.26552135728631	0 0.226262555559444	0 0.166537173788775	0 0.269482817333936	0 0.242044187569684	0 0.321905611163608	3 0.377630396994832	0 0.426776399092922	0 0.29107512879895
0 0.086279190814718	6 0.121857472150958	0 0.131835729804092	0 0.231114207910484	0 0.246345131573319	0 0.458599099966168	0 0.254506640283452	0 0.117354378842497	0 0.171753318718986	0 0.367086060266685	0 0.390536305590912	0 0.449027930582462	0 0.534958077305748	0 0.497258160060456	0 0.428423311717855	0 0.275420294361686	1 0.643941025551287	0 0.520592390145815	0 0.581720044871216	0 0.612616696706681	0 0.278180609157405	0 0.331492892292838	0 0.387128048235125	0 0.463657722509472	0 0.509073516108129	2 0.419869520812719	0 0.497518853277229	0 0.282200696910388	0 0.424190297852202	2 0.374881912800699	1 0.185831401613337	0 0.243262825672793	0 0.467112165973729	0 0.597924808579972	0 0.357990262458642	0 0.227415784814762	0 0.255074294084557	0 0.163140999467252	0 0.197972369584189	0 0.657651454170021	0 0.290039558334802	0 0.226262555559444	0 0.186530407494254	0 0.294547272122256	0 0.267640696428363	0 0.344760933981964	0 0.396198042440999	0 0.449594695368678	0 0.312910498255929
0 0.0914633737697618	0 0.127411937297577	0 0.134826494799196	1 0.25384855095596	0 0.276330947631214	0 0.493048729777489	2 0.280419298387057	0 0.125275609841459	0 0.189571581138795	0 0.396891712622472	0 0.421547209640312	0 0.487351999987827	0 0.58462159581223	0 0.576190485449226	0 0.450078995655239	0 0.296214802860399	0 0.700569705845666	0 0.549692494185547	0 0.614969137223768	0 0.659924797886116	0 0.393099294571478	0 0.345890026974442	0 0.397697889357737	0 0.48375490663803	0 0.534148046099889	2 0.43667098309593	0 0.540129638767872	0 0.380427505974351	0 0.473260788838432	0 0.378950407727575	0 0.193369890971786	2 0.249655623371094	0 0.483516589949183	0 0.630330692923	0 0.411325421973586	0 0.25234188491948	5 0.273500051836772	2 0.162603390146875	0 0.201263229885414	0 0.719347810870402	0 0.304167434970181	0 0.226262555559444	0 0.198521331326777	0 0.305333345554883	0 0.271398823064731	0 0.358006976282971	0 0.400017499037553	0 0.461025380783544	0 0.324168212414984
0 0.0842141182234977	0 0.128982034428473	1 0.139311408385359	1 0.272908538010207	0 0.260927452268814	0 0.413328542971803	0 0.281652809931108	0 0.11058516781577	0 0.178396589702718	0 0.398934933578653	0 0.467787034870977	0 0.430039131160364	0 0.382597707126108	0 0.579743438184974	0 0.415134042627655	0 0.278535930523821	0 0.621421783340378	1 0.534813274663833	1 0.441285440411888	0 0.513755596775511	0 0.430811671737365	0 0.310244587710467	0 0.367330074623673	1 0.441493349444728	0 0.473125506399035	0 0.362329238558546	0 0.402752305636765	0 0.436560828898	0 0.439580520041095	0 0.387527233828226	2 0.155024022974511	43 0.195543881450157	0 0.310405995046159	0 0.4990050334767	1 0.409272650260646	18 0.225097691742339	0 0.263194408099603	0 0.154208440541341	0 0.203681248511724	0 0.513045756842348	3 0.300322686456449	0 0.226262555559444	0 0.189166345850978	0 0.29915415288342	0 0.258750977029597	0 0.334101225127062	0 0.337364333850527	0 0.443764150664021	0 0.316255551150166
0 0.0574035449326883	0 0.0915509332850568	0 0.0960665753127168	0 0.157163982243603	0 0.137926265169132	0 0.28468366354733	0 0.155186381299793	0 0.0649243458276461	1 0.118338036862518	0 0.274563024033678	4 0.269019611816087	0 0.289765149873279	0 0.331581346359284	0 0.326229696255595	0 0.325407727574983	1 0.208431452936755	0 0.483600709653277	0 0.361518980092459	0 0.435746450611883	0 0.401012239365999	2 0.275499089003096	0 0.198016916494187	0 0.252946765011258	0 0.317022695330704	0 0.352106088710575	0 0.284866036913424	0 0.321370790390193	0 0.231190778096948	0 0.342018124487024	0 0.290174207378172	0 0.130229113440427	0 0.170831204283764	0 0.332847440419639	0 0.414353293902169	0 0.264530034181453	0 0.179579040427716	0 0.185778740502606	0 0.120316655564445	0 0.148128892384603	10 0.475095369754663	0 0.177766889487745	0 0.226262555559444	0 0.150272984985826	0 0.2298181933327	0 0.209901580413077	0 0.25214290297367	0 0.266055172521067	0 0.332509331795058	0 0.200499178024661
0 0.0567158389621904	0 0.0868099117293647	0 0.124066830170494	0 0.180323339792069	0 0.191269756959598	0 0.35597234860416	0 0.191218109224355	0 0.078246946417947	0 0.12991630157311	0 0.289263465509397	0 0.318412487313198	1 0.376985162621953	0 0.439757063361515	0 0.401347879570327	0 0.363084822001457	0 0.217198679072651	0 0.534791003161493	0 0.412536628667242	0 0.544583863676971	0 0.502915777132258	0 0.317858799817292	0 0.230789459357513	0 0.295968270356242	0 0.362315270028569	0 0.426792511260365	0 0.326365799881007	0 0.435698641896203	0 0.293639458804125	0 0.3904975132471	0 0.329943345262607	0 0.143738654262595	0 0.184823545231328	0 0.396843290285701	0 0.488063712051393	0 0.317961214056304	0 0.186386023278524	0 0.20205863454958	0 0.137809587139374	0 0.162327091118269	0 0.554442422333438	0 0.199990667179972	0 0.226262555559444	0 0.136438245896476	0 0.233661967140194	0 0.215909374984376	0 0.283101859953258	0 0.313048254568221	0 0.361464256846065	0 0.204226712736279
0 0.0523133727644979	0 0.0808609709472515	0 0.0884636921892373	1 0.154118116423951	0 0.142416731272948	0 0.292791295435726	0 0.147951785512947	1 0.0763978814498536	0 0.126446984809775	0 0.276534582264642	0 0.275342290384555	0 0.317775040800274	0 0.368546396614853	0 0.34486617124947	0 0.338288269145197	0 0.211545240011799	0 0.524158318728367	0 0.381602837601508	0 0.470055616239352	0 0.42631428708921	0 0.295609222262006	0 0.22169848100215	0 0.283483679230976	0 0.339725547551025	0 0.391948499866728	1 0.302909135452096	0 0.354184477725122	0 0.25909456390155	0 0.350455905105399	0 0.327152226311208	0 0.152560165340639	1 0.196984165870877	0 0.345988142369341	0 0.44578175978099	0 0.29432046301556	0 0.184054538017358	1 0.206736754478504	0 0.140808338874695	0 0.17777810681951	0 0.41124448201011	0 0.26181093072914	0 0.226262555559444	0 0.127869550508055	0 0.237551476335468	3 0.222640879751614	0 0.275429625676143	1 0.28559525792605	7 0.372146347237526	0 0.224259217467177
0 0.141912726714924	0 0.159176848947849	0 0.14960488070592	0 0.257254676750354	0 0.26827647430211	0 0.502877862550893	0 0.283093164141706	0 0.195207596915503	0 0.257836652317456	0 0.44917029563374	3 0.441347370631457	0 0.497191803131883	0 0.590025048622326	0 0.637473735240858	0 0.501140562269075	0 0.326724893632334	0 0.746526441045743	0 0.582136505219486	0 0.629061848966728	0 0.683184846708431	0 0.47264930343361	0 0.348430790010253	0 0.404384165120918	0 0.46448800579126	0 0.51574701270218	0 0.453237003782974	2 0.53719211372578	0 0.469145831594647	0 0.462568225414269	0 0.435569580258452	1 0.247862029353091	1 0.304033425220436	0 0.522495479415299	23 0.634402718961568	0 0.453420927233618	0 0.233449794407649	0 0.256133464588231	0 0.154701602522972	0 0.213821074235822	0 0.67855849659038	0 0.321518122473413	0 0.226262555559444	0 0.197922864242467	0 0.316444628065782	0 0.271773802440866	0 0.362999670434793	11 0.402448589861274	6 0.473963226894316	0 0.362451410000036
0 0.139585447800371	0 0.161550697493095	0 0.145781789693875	2 0.262796127021095	5 0.278614176220308	1 0.525131716713914	0 0.296448278678006	0 0.19462137915748	0 0.265381886885955	0 0.466267264391368	0 0.450984735313242	0 0.514765679484267	0 0.628645007857901	0 0.665059956586109	0 0.510848873008954	0 0.334507227102509	0 0.750686500704	0 0.605721230786852	0 0.654007955001071	0 0.747576383298919	0 0.488967230733934	0 0.35952712415632	0 0.419715630918077	0 0.481915665691019	4 0.535327375176183	0 0.46946020241614	1 0.568230289184315	0 0.495378234966308	0 0.499380942119932	0 0.44507442334574	0 0.260689166997776	0 0.322812122784227	1 0.555242828311109	0 0.669749413782242	0 0.476174050811821	0 0.248452694325113	0 0.263807863701825	0 0.159609110387818	2 0.22687490897678	3 0.814866307353096	0 0.331046792426417	0 0.226262555559444	0 0.209698549913088	0 0.334041627710476	0 0.292035188064656	0 0.380447183043821	0 0.417297261718787	0 0.481499281870707	0 0.371160905594637
